id_registro,edad,ingresos_mensuales,monto_credito,historial_crediticio,plazo_meses,cuota_mensual,tipo_empleo,numero_dependientes,antiguedad_laboral_meses,atrasos_previos,ratio_deuda_ingreso,presion_financiera,capacidad_pago,nivel_crediticio,puntaje_riesgo_financiero,moroso,norm_edad,norm_ingresos_mensuales,norm_monto_credito,norm_historial_crediticio,norm_plazo_meses,norm_cuota_mensual,norm_numero_dependientes,norm_antiguedad_laboral_meses,norm_atrasos_previos,norm_ratio_deuda_ingreso,norm_presion_financiera,norm_capacidad_pago,norm_puntaje_riesgo_financiero
11,56,4461.62,5471.85,441.0,18,431.41,Dependiente,3,151,2,0.0967,0.0681,2980.21,Bajo,10.96,0,0.7451,0.5737,0.1145,0.2524,0.2857,0.1432,0.6,0.8409,0.5,0.0524,0.0234,0.5541,0.1217
12,42,3428.77,5274.56,579.0,12,734.91,Independiente,0,3,2,0.2143,0.1282,2693.86,Bajo,24.48,1,0.4706,0.3894,0.1051,0.5086,0.1429,0.4184,0.0,0.0,0.5,0.1632,0.0487,0.5178,0.1726
13,48,5301.6,8912.53,724.0,6,1010.16,Independiente,3,167,2,0.1905,0.2802,3241.44,Bueno,25.72,0,0.5882,0.7237,0.2793,0.7777,0.0,0.668,0.6,0.9318,0.5,0.1408,0.1127,0.5871,0.1773
14,21,2355.19,13594.07,659.0,18,790.87,Dependiente,2,175,2,0.3358,0.3207,864.32,Medio,45.96,1,0.0588,0.1977,0.5035,0.657,0.2857,0.4692,0.4,0.9773,0.5,0.2776,0.1298,0.2862,0.2536
15,51,3665.08,10172.82,561.0,24,617.45,Dependiente,3,128,0,0.1685,0.1157,1997.63,Bajo,1.53,0,0.6471,0.4315,0.3396,0.4751,0.4286,0.3119,0.6,0.7102,0.0,0.1201,0.0435,0.4297,0.0862
16,68,2532.39,15432.48,357.0,18,378.45,Independiente,4,62,1,0.1494,0.3386,753.94,Bajo,34.71,1,0.9804,0.2293,0.5915,0.0965,0.2857,0.0952,0.8,0.3352,0.25,0.1021,0.1373,0.2722,0.2112
17,23,4831.99,8515.06,654.0,18,807.89,Independiente,1,25,3,0.1672,0.0979,3674.1,Medio,21.98,1,0.098,0.6399,0.2603,0.6478,0.2857,0.4846,0.2,0.125,0.75,0.1188,0.036,0.6419,0.1632
18,54,3194.04,10843.7,606.0,36,1376.2727999999997,Dependiente,4,51,1,0.4309,0.0943,417.77,Medio,33.54,0,0.7059,0.3474,0.3718,0.5587,0.7143,1.0,0.8,0.2727,0.25,0.3671,0.0345,0.2297,0.2068
19,62,2718.06,7127.97,759.0,6,819.92,Dependiente,0,105,0,0.3017,0.4371,1898.14,Excelente,33.03,0,0.8627,0.2625,0.1938,0.8426,0.0,0.4955,0.0,0.5795,0.0,0.2455,0.1788,0.4171,0.2049
20,48,3589.97,8444.42,405.0,36,608.52,Informal,2,45,1,0.1695,0.0653,2281.45,Bajo,13.22,0,0.5882,0.4181,0.2569,0.1856,0.7143,0.3038,0.4,0.2386,0.25,0.121,0.0222,0.4656,0.1302
21,39,2388.65,3080.2244,608.0,12,552.2,Dependiente,3,27,4,0.2312,0.1075,786.45,Medio,38.95,0,0.4118,0.2037,0.0,0.5624,0.1429,0.2527,0.6,0.1364,1.0,0.1791,0.04,0.2764,0.2272
22,20,2215.73,8975.97,786.0,12,665.89,Independiente,1,106,1,0.3005,0.3376,1199.84,Excelente,31.85,0,0.0392,0.1728,0.2823,0.8928,0.1429,0.3558,0.2,0.5852,0.25,0.2444,0.1369,0.3287,0.2004
23,21,2775.87,16236.99,722.0,36,324.75,Dependiente,2,152,1,0.117,0.1625,1751.12,Bueno,1.29,0,0.0588,0.2728,0.63,0.774,0.7143,0.0465,0.4,0.8466,0.25,0.0716,0.0632,0.3985,0.0853
24,23,2706.61,6587.83,518.0,36,472.51,Independiente,3,121,2,0.1746,0.0676,1184.1,Bajo,16.13,1,0.098,0.2604,0.168,0.3953,0.7143,0.1805,0.6,0.6705,0.5,0.1258,0.0232,0.3267,0.1412
25,34,2763.09,18991.43,460.0,24,871.27,Dependiente,2,3,2,0.3153,0.2864,1191.82,Bajo,51.99,1,0.3137,0.2705,0.7619,0.2877,0.4286,0.5421,0.4,0.0,0.5,0.2583,0.1154,0.3277,0.2763
26,42,4372.92,10421.1,777.0,24,479.68,Dependiente,3,136,1,0.1097,0.0993,2843.24,Excelente,-6.43,1,0.4706,0.5579,0.3515,0.8761,0.4286,0.187,0.6,0.7557,0.25,0.0647,0.0366,0.5367,0.0562
27,21,1801.11,13848.86,719.0,12,544.28,Dependiente,1,100,1,0.3022,0.6408,906.83,Bueno,59.06,1,0.0588,0.0988,0.5157,0.7684,0.1429,0.2455,0.2,0.5511,0.25,0.246,0.2646,0.2916,0.3029
28,45,1859.66,5862.85,833.0,36,927.62,Dependiente,0,11,0,0.4988,0.0876,932.04,Excelente,23.38,0,0.5294,0.1092,0.1333,0.98,0.7143,0.5932,0.0,0.0455,0.0,0.4311,0.0316,0.2948,0.1685
29,50,3221.11,14165.94,605.0,24,870.02,Informal,1,165,0,0.2701,0.1832,2001.09,Medio,14.72,0,0.6275,0.3523,0.5309,0.5568,0.4286,0.5409,0.2,0.9205,0.0,0.2157,0.0719,0.4301,0.1359
30,46,2064.46,10605.3,488.0,36,655.04,Dependiente,1,125,2,0.3173,0.1427,1059.42,Bajo,37.54,0,0.549,0.1458,0.3604,0.3397,0.7143,0.346,0.2,0.6932,0.5,0.2602,0.0548,0.3109,0.2218
31,61,1785.53,7094.39,427.0,48,706.49,Dependiente,1,152,0,0.3957,0.0828,729.04,Bajo,26.58,1,0.8431,0.096,0.1922,0.2264,1.0,0.3926,0.2,0.8466,0.0,0.334,0.0296,0.2691,0.1806
32,63,1382.12,7673.91,443.0,6,767.25,Informal,1,90,2,0.5551,0.9254,264.87,Bajo,126.32,1,0.8824,0.024,0.22,0.2561,0.0,0.4477,0.2,0.4943,0.5,0.4841,0.3845,0.2103,0.5563
33,40,1570.24,15884.25,451.0,36,420.11,Independiente,0,145,2,0.2675,0.281,1150.13,Bajo,44.77,1,0.4314,0.0576,0.6131,0.271,0.7143,0.133,0.0,0.8068,0.5,0.2133,0.1131,0.3224,0.2491
34,18,1967.97,7540.33,629.0,12,307.26,Informal,3,16,3,0.1561,0.3193,610.71,Medio,39.73,1,0.0,0.1286,0.2136,0.6014,0.1429,0.0306,0.6,0.0739,0.75,0.1084,0.1292,0.2541,0.2301
35,34,2067.16,7298.47,662.0,18,923.58,Independiente,4,145,3,0.4468,0.1961,-256.42,Medio,55.47,0,0.3137,0.1463,0.202,0.6626,0.2857,0.5895,0.8,0.8068,0.75,0.3821,0.0773,0.1443,0.2894
36,50,2540.48,6655.27,537.0,24,405.88,Informal,1,20,0,0.1598,0.1092,1784.6,Bajo,2.9,0,0.6275,0.2308,0.1712,0.4306,0.4286,0.12,0.2,0.0966,0.0,0.1119,0.0407,0.4027,0.0913
37,18,2297.35,14443.05,579.0,12,438.52,Informal,2,3,1,0.1909,0.5239,1158.83,Bajo,45.79,1,0.0,0.1874,0.5441,0.5086,0.1429,0.1496,0.4,0.0,0.25,0.1411,0.2154,0.3235,0.2529
38,64,2724.77,6665.75,843.7799999999997,36,1203.64,Informal,3,19,0,0.4417,0.068,471.13,Excelente,15.54,0,0.902,0.2637,0.1717,1.0,0.7143,0.8435,0.6,0.0909,0.0,0.3773,0.0234,0.2364,0.139
39,19,2319.48,9333.99,708.0,36,537.57,Dependiente,3,66,0,0.2318,0.1118,731.91,Bueno,2.7,0,0.0196,0.1913,0.2995,0.748,0.7143,0.2395,0.6,0.358,0.0,0.1797,0.0418,0.2695,0.0906
40,19,4531.7,6967.58,637.0,12,377.07,Independiente,1,111,1,0.0832,0.1281,3804.63,Medio,-0.76,0,0.0196,0.5863,0.1862,0.6162,0.1429,0.0939,0.2,0.6136,0.25,0.0397,0.0487,0.6584,0.0775
41,37,4364.54,6910.63,753.0,6,466.06,Dependiente,2,94,1,0.1068,0.2639,3198.48,Excelente,8.11,0,0.3725,0.5564,0.1834,0.8315,0.0,0.1746,0.4,0.517,0.25,0.062,0.1059,0.5817,0.111
42,52,5061.52,23962.85579999986,615.0,24,644.05,Independiente,0,7,1,0.1272,0.1973,4417.47,Medio,11.79,0,0.6667,0.6808,1.0,0.5754,0.4286,0.336,0.0,0.0227,0.25,0.0812,0.0778,0.736,0.1248
43,19,3948.88,8222.88,305.0,36,1054.09,Dependiente,0,164,1,0.2669,0.0578,2894.79,Bajo,24.38,0,0.0196,0.4822,0.2463,0.0,0.7143,0.7078,0.0,0.9148,0.25,0.2127,0.0191,0.5433,0.1723
44,69,3484.43,16240.25,480.0,36,1153.06,Independiente,4,173,2,0.3309,0.1295,931.37,Bajo,37.37,1,1.0,0.3993,0.6302,0.3248,0.7143,0.7976,0.8,0.9659,0.5,0.273,0.0493,0.2947,0.2212
45,33,4138.65,7590.83,664.0,12,578.71,Dependiente,0,147,0,0.1398,0.1528,3559.94,Medio,-2.81,0,0.2941,0.5161,0.216,0.6663,0.1429,0.2768,0.0,0.8182,0.0,0.093,0.0591,0.6275,0.0698
46,51,1247.7975999999999,11448.31,568.0,36,827.95,Dependiente,1,84,3,0.6635,0.2549,69.85,Bajo,86.62,1,0.6471,0.0,0.4007,0.4881,0.7143,0.5028,0.2,0.4602,0.75,0.5862,0.1021,0.1856,0.4068
47,51,3585.45,8330.59,451.0,24,821.76,Dependiente,0,131,2,0.2292,0.0968,2763.69,Bajo,26.44,0,0.6471,0.4173,0.2514,0.271,0.4286,0.4972,0.0,0.7273,0.5,0.1772,0.0355,0.5267,0.18
48,18,2645.03,11002.55,370.0,24,322.64,Dependiente,3,5,1,0.122,0.1733,1272.39,Bajo,19.18,0,0.0,0.2494,0.3794,0.1206,0.4286,0.0446,0.6,0.0114,0.25,0.0763,0.0677,0.3379,0.1527
49,63,6849.330399999998,6242.79,664.0,24,1082.24,Dependiente,0,108,0,0.158,0.038,5767.09,Medio,-9.52,1,0.8824,1.0,0.1514,0.6663,0.4286,0.7334,0.0,0.5966,0.0,0.1102,0.0107,0.9069,0.0445
50,57,3484.38,9200.31,804.0,24,790.83,Dependiente,2,12,1,0.227,0.11,1993.55,Excelente,7.14,0,0.7647,0.3993,0.2931,0.9262,0.4286,0.4691,0.4,0.0511,0.25,0.1751,0.0411,0.4292,0.1073
51,44,2954.06,7855.34,488.0,24,670.94,Dependiente,0,102,2,0.2271,0.1108,2283.12,Bajo,26.35,0,0.5098,0.3046,0.2287,0.3397,0.4286,0.3604,0.0,0.5625,0.5,0.1752,0.0414,0.4658,0.1797
52,41,2917.59,8502.79,715.0,18,419.78,Dependiente,2,48,2,0.1439,0.1619,1797.81,Bueno,13.94,0,0.451,0.2981,0.2597,0.761,0.2857,0.1327,0.4,0.2557,0.5,0.0969,0.0629,0.4044,0.1329
53,64,3430.04,12565.24,404.0,12,1376.2727999999997,Dependiente,1,130,4,0.4012,0.3053,1703.77,Bajo,78.22,0,0.902,0.3896,0.4542,0.1837,0.1429,1.0,0.2,0.7216,1.0,0.3392,0.1233,0.3925,0.3751
54,22,3934.93,3080.2244,792.0,18,608.52,Dependiente,3,77,0,0.1546,0.0435,2276.41,Excelente,-14.02,0,0.0784,0.4797,0.0,0.9039,0.2857,0.3038,0.6,0.4205,0.0,0.107,0.0131,0.465,0.0276
55,63,2658.85,6206.65,558.0,12,1306.52,Informal,3,7,0,0.4914,0.1945,302.33,Bajo,42.26,1,0.8824,0.2519,0.1497,0.4696,0.1429,0.9367,0.6,0.0227,0.0,0.4241,0.0767,0.2151,0.2396
56,43,2218.95,7808.81,542.0,36,1142.82,Dependiente,2,118,0,0.515,0.0978,376.13,Bajo,35.68,0,0.4902,0.1734,0.2264,0.4399,0.7143,0.7883,0.4,0.6534,0.0,0.4463,0.0359,0.2244,0.2148
57,69,5367.4,16838.31,718.0,12,673.91,Dependiente,0,68,1,0.1256,0.2614,4693.49,Bueno,11.62,0,1.0,0.7354,0.6588,0.7665,0.1429,0.3631,0.0,0.3693,0.25,0.0797,0.1048,0.7709,0.1242
58,68,2032.43,7046.09,833.0,18,910.3,Dependiente,1,172,0,0.4479,0.1926,772.13,Excelente,24.01,0,0.9804,0.1401,0.1899,0.98,0.2857,0.5775,0.2,0.9602,0.0,0.3831,0.0759,0.2745,0.1709
59,36,3274.68,5214.2,409.0,24,423.89,Dependiente,0,141,3,0.1294,0.0663,2850.79,Bajo,23.53,1,0.3529,0.3618,0.1022,0.193,0.4286,0.1364,0.0,0.7841,0.75,0.0832,0.0227,0.5377,0.1691
60,51,3280.9,12208.28,647.0,36,432.3,Independiente,1,9,3,0.1318,0.1034,2498.6,Medio,19.42,1,0.6471,0.363,0.4371,0.6348,0.7143,0.144,0.2,0.0341,0.75,0.0855,0.0383,0.4931,0.1536
61,66,4024.31,18883.98,633.0,18,817.09,Dependiente,0,150,1,0.203,0.2607,3207.22,Medio,21.34,1,0.9412,0.4957,0.7568,0.6088,0.2857,0.4929,0.0,0.8352,0.25,0.1525,0.1045,0.5828,0.1608
62,25,3095.95,5698.71,672.0,24,713.96,Informal,3,27,2,0.2306,0.0767,1331.99,Bueno,17.87,1,0.1373,0.3299,0.1254,0.6812,0.4286,0.3994,0.6,0.1364,0.5,0.1785,0.027,0.3454,0.1477
63,30,2274.13,9882.47,592.0,36,536.19,Independiente,2,4,2,0.2358,0.1207,1037.94,Medio,25.49,0,0.2353,0.1832,0.3257,0.5327,0.7143,0.2382,0.4,0.0057,0.5,0.1834,0.0456,0.3082,0.1764
64,62,3840.7,13939.58,408.0,36,414.29,Independiente,0,161,2,0.1079,0.1008,3426.41,Bajo,15.85,0,0.8627,0.4629,0.52,0.1912,0.7143,0.1277,0.0,0.8977,0.5,0.063,0.0372,0.6105,0.1401
65,26,1783.17,19635.29,406.0,18,555.74,Dependiente,3,73,0,0.3117,0.6117,177.43,Bajo,62.65,0,0.1569,0.0956,0.7928,0.1875,0.2857,0.2559,0.6,0.3977,0.0,0.2549,0.2524,0.1993,0.3165
66,18,1963.51,23962.85579999986,578.0,36,685.17,Dependiente,3,84,1,0.349,0.339,228.34,Bajo,45.5,1,0.0,0.1278,1.0,0.5067,0.7143,0.3733,0.6,0.4602,0.25,0.29,0.1375,0.2057,0.2518
67,52,1673.04,7092.71,816.0,12,329.63,Independiente,3,175,4,0.197,0.3533,293.41,Excelente,44.41,0,0.6667,0.0759,0.1921,0.9484,0.1429,0.0509,0.6,0.9773,1.0,0.1469,0.1435,0.2139,0.2477
68,46,2234.53,8677.32,630.0,24,709.72,Independiente,3,38,2,0.3176,0.1618,474.81,Medio,34.87,1,0.549,0.1762,0.268,0.6032,0.4286,0.3956,0.6,0.1989,0.5,0.2605,0.0629,0.2369,0.2118
69,48,3214.98,9834.78,448.0,12,594.7,Independiente,2,129,1,0.185,0.2549,1920.28,Bajo,26.82,0,0.5882,0.3512,0.3235,0.2654,0.1429,0.2913,0.4,0.7159,0.25,0.1356,0.1021,0.4199,0.1815
70,53,2510.84,4362.36,576.0,12,578.37,Independiente,1,117,1,0.2303,0.1448,1582.47,Bajo,17.62,0,0.6863,0.2255,0.0614,0.503,0.1429,0.2765,0.2,0.6477,0.25,0.1782,0.0557,0.3771,0.1468
71,43,4363.37,6931.47,702.0,24,634.65,Independiente,3,159,1,0.1454,0.0662,2678.72,Bueno,-2.89,0,0.4902,0.5562,0.1844,0.7368,0.4286,0.3275,0.6,0.8864,0.25,0.0983,0.0226,0.5159,0.0695
72,37,2873.65,10880.87,585.0,18,757.74,Dependiente,0,28,1,0.2637,0.2104,2115.91,Medio,27.34,0,0.3725,0.2903,0.3735,0.5197,0.2857,0.4391,0.0,0.142,0.25,0.2097,0.0834,0.4447,0.1834
73,53,2681.87,21200.23,740.0,24,427.07,Independiente,0,56,0,0.1592,0.3294,2254.8,Excelente,11.74,0,0.6863,0.256,0.8677,0.8074,0.4286,0.1393,0.0,0.3011,0.0,0.1113,0.1335,0.4622,0.1246
74,44,3403.21,14412.42,487.0,36,502.29,Dependiente,2,64,0,0.1476,0.1176,2200.92,Bajo,3.62,0,0.5098,0.3848,0.5427,0.3378,0.7143,0.2075,0.4,0.3466,0.0,0.1004,0.0443,0.4554,0.094
75,40,3393.18,11335.62,339.0,48,589.83,Independiente,1,43,0,0.1738,0.0696,2453.35,Bajo,8.67,0,0.4314,0.383,0.3953,0.0631,1.0,0.2869,0.2,0.2273,0.0,0.125,0.024,0.4874,0.1131
76,44,1917.68,3080.2244,701.0,24,871.58,Dependiente,1,125,3,0.4545,0.0669,696.1,Bueno,44.68,0,0.5098,0.1196,0.0,0.735,0.4286,0.5423,0.2,0.6932,0.75,0.3894,0.0229,0.2649,0.2487
77,20,2435.93,5311.65,511.0,36,698.02,Independiente,1,50,4,0.2866,0.0606,1387.91,Bajo,44.23,0,0.0392,0.2121,0.1069,0.3823,0.7143,0.385,0.2,0.267,1.0,0.2313,0.0203,0.3525,0.2471
78,19,2375.74,13216.94,616.0,18,667.42,Dependiente,1,54,1,0.2809,0.3091,1358.32,Medio,35.28,0,0.0196,0.2014,0.4854,0.5772,0.2857,0.3572,0.2,0.2898,0.25,0.2259,0.1249,0.3487,0.2133
79,43,1809.5,13441.79,326.0,24,652.3,Independiente,4,70,2,0.3605,0.3095,-242.8,Bajo,62.6,1,0.4902,0.1003,0.4962,0.039,0.4286,0.3435,0.8,0.3807,0.5,0.3008,0.1251,0.1461,0.3163
80,25,3154.65,11896.23,408.0,24,506.12,Dependiente,2,36,3,0.1604,0.1571,1948.53,Bajo,35.69,1,0.1373,0.3404,0.4222,0.1912,0.4286,0.2109,0.4,0.1875,0.75,0.1124,0.0609,0.4235,0.2149
81,22,2570.55,4769.18,307.0,6,668.79,Independiente,0,176,3,0.2602,0.3092,1901.76,Bajo,59.54,0,0.0784,0.2361,0.0809,0.0037,0.0,0.3585,0.0,0.983,0.75,0.2064,0.125,0.4175,0.3047
82,43,2989.8,5871.58,405.0,18,543.88,Informal,1,75,0,0.1819,0.1091,2095.92,Bajo,9.47,0,0.4902,0.311,0.1337,0.1856,0.2857,0.2452,0.2,0.4091,0.0,0.1327,0.0407,0.4421,0.1161
83,32,2228.19,12042.41,393.0,24,758.16,Independiente,1,33,1,0.3403,0.2252,1120.03,Bajo,43.78,1,0.2745,0.175,0.4292,0.1633,0.4286,0.4395,0.2,0.1705,0.25,0.2818,0.0896,0.3186,0.2454
84,67,2921.22,11360.76,478.0,36,627.26,Informal,1,147,3,0.2147,0.108,1943.96,Bajo,32.54,0,0.9608,0.2987,0.3965,0.3211,0.7143,0.3208,0.2,0.8182,0.75,0.1636,0.0402,0.4229,0.203
85,22,2903.71,7145.42,786.0,12,544.77,Dependiente,2,127,1,0.1876,0.2051,1658.94,Excelente,9.61,0,0.0784,0.2956,0.1947,0.8928,0.1429,0.246,0.4,0.7045,0.25,0.138,0.0811,0.3868,0.1166
86,26,2935.5,17949.42,321.0,24,679.43,Dependiente,3,23,1,0.2315,0.2548,1206.07,Bajo,38.31,1,0.1569,0.3013,0.712,0.0297,0.4286,0.3681,0.6,0.1136,0.25,0.1794,0.1021,0.3295,0.2247
87,23,3959.9,5832.95,494.0,36,780.44,Independiente,2,49,1,0.1971,0.0409,2479.46,Bajo,10.41,0,0.098,0.4842,0.1318,0.3508,0.7143,0.4597,0.4,0.2614,0.25,0.147,0.012,0.4907,0.1196
88,59,4269.45,8386.28,606.0,18,603.63,Independiente,1,173,4,0.1414,0.1091,3315.82,Medio,27.74,0,0.8039,0.5394,0.2541,0.5587,0.2857,0.2994,0.2,0.9659,1.0,0.0945,0.0407,0.5965,0.1849
89,38,3041.33,6430.89,572.0,18,716.78,Dependiente,2,17,1,0.2357,0.1175,1624.55,Bajo,17.81,0,0.3922,0.3202,0.1605,0.4956,0.2857,0.402,0.4,0.0795,0.25,0.1833,0.0442,0.3825,0.1475
90,69,2975.82,4836.55,397.0,48,441.17,Dependiente,0,100,0,0.1483,0.0339,2534.65,Bajo,-0.0,0,1.0,0.3085,0.0841,0.1708,1.0,0.152,0.0,0.5511,0.0,0.101,0.009,0.4977,0.0804
91,64,3434.37,5531.94,819.0,12,518.68,Independiente,0,125,2,0.151,0.1342,2915.69,Excelente,6.99,0,0.902,0.3904,0.1174,0.954,0.1429,0.2223,0.0,0.6932,0.5,0.1036,0.0513,0.5459,0.1067
92,34,5551.42,14114.85,365.0,12,444.71,Dependiente,1,3,3,0.0801,0.2119,4756.71,Bajo,34.31,0,0.3137,0.7683,0.5284,0.1114,0.1429,0.1553,0.2,0.0,0.75,0.0368,0.084,0.779,0.2097
93,40,3172.31,11220.94,625.0,12,843.66,Dependiente,5,35,0,0.2659,0.2948,578.65,Medio,24.59,1,0.4314,0.3436,0.3898,0.5939,0.1429,0.517,1.0,0.1818,0.0,0.2118,0.1189,0.2501,0.1731
94,40,4454.24,12583.92,470.0,12,784.67,Independiente,1,148,3,0.1762,0.2354,3319.57,Bajo,39.19,0,0.4314,0.5724,0.4551,0.3062,0.1429,0.4635,0.2,0.8239,0.75,0.1273,0.0939,0.597,0.2281
95,25,2140.46,7627.83,561.0,36,421.52,Dependiente,0,179,4,0.1969,0.099,1718.94,Bajo,34.19,0,0.1373,0.1594,0.2178,0.4751,0.7143,0.1342,0.0,1.0,1.0,0.1468,0.0364,0.3944,0.2092
96,67,3394.57,6876.75,397.0,24,641.47,Dependiente,1,105,2,0.189,0.0844,2403.1,Bajo,24.02,0,0.9608,0.3832,0.1818,0.1708,0.4286,0.3337,0.2,0.5795,0.5,0.1394,0.0303,0.481,0.1709
97,40,1844.75,11032.29,433.0,18,574.66,Informal,0,154,0,0.3115,0.3322,1270.09,Bajo,37.84,0,0.4314,0.1066,0.3808,0.2376,0.2857,0.2731,0.0,0.858,0.0,0.2547,0.1347,0.3376,0.223
98,33,4275.58,4568.8,464.0,36,666.41,Informal,3,67,0,0.1559,0.0297,2559.17,Bajo,-1.71,1,0.2941,0.5405,0.0713,0.2951,0.7143,0.3563,0.6,0.3636,0.0,0.1082,0.0072,0.5008,0.074
99,56,2103.63,11614.36,665.0,6,335.62,Informal,3,170,1,0.1595,0.9202,718.01,Medio,68.13,1,0.7451,0.1528,0.4087,0.6682,0.0,0.0563,0.6,0.9489,0.25,0.1116,0.3823,0.2677,0.3371
100,56,4076.1,6293.19,701.0,36,349.61,Informal,1,110,0,0.0858,0.0429,3376.49,Bueno,-17.86,0,0.7451,0.5049,0.1539,0.735,0.7143,0.069,0.2,0.608,0.0,0.0422,0.0128,0.6042,0.0131
101,38,3881.21,15630.67,587.0,12,610.41,Dependiente,1,163,1,0.1573,0.3356,2920.8,Medio,24.38,0,0.3922,0.4701,0.601,0.5234,0.1429,0.3055,0.2,0.9091,0.25,0.1095,0.1361,0.5465,0.1723
102,66,2592.74,4701.4,434.0,36,769.63,Independiente,0,130,0,0.2968,0.0504,1823.11,Bajo,14.19,0,0.9412,0.2401,0.0776,0.2394,0.7143,0.4499,0.0,0.7216,0.0,0.2409,0.016,0.4076,0.1339
103,28,2390.8,6496.12,436.0,12,638.59,Dependiente,3,149,0,0.2671,0.2264,702.21,Bajo,24.9,0,0.1961,0.2041,0.1636,0.2431,0.1429,0.3311,0.6,0.8295,0.0,0.2129,0.0901,0.2657,0.1742
104,21,3128.86,8102.55,569.0,18,446.75,Independiente,1,70,3,0.1428,0.1439,2332.11,Bajo,25.87,1,0.0588,0.3358,0.2405,0.49,0.2857,0.1571,0.2,0.3807,0.75,0.0959,0.0553,0.472,0.1779
105,31,2729.59,9652.65,487.0,24,741.82,Dependiente,2,148,4,0.2718,0.1473,1287.77,Bajo,49.02,1,0.2549,0.2645,0.3147,0.3378,0.4286,0.4247,0.4,0.8239,1.0,0.2173,0.0568,0.3398,0.2651
106,45,3337.7,6380.55,638.0,12,805.6,Dependiente,1,106,1,0.2414,0.1593,2182.1,Medio,17.6,0,0.5294,0.3731,0.158,0.6181,0.1429,0.4825,0.2,0.5852,0.25,0.1887,0.0618,0.453,0.1467
107,28,6849.330399999998,8076.13,502.0,24,971.81,Independiente,4,97,3,0.1419,0.0491,4477.52,Bajo,20.42,1,0.1961,1.0,0.2392,0.3656,0.4286,0.6332,0.8,0.5341,0.75,0.095,0.0154,0.7436,0.1573
108,23,1672.12,12157.26,560.0,24,667.09,Dependiente,3,155,1,0.3989,0.3029,-44.97,Bajo,47.14,1,0.098,0.0758,0.4347,0.4733,0.4286,0.3569,0.6,0.8636,0.25,0.337,0.1223,0.1711,0.258
109,28,1440.18,8287.95,814.0,24,917.94,Independiente,2,58,4,0.6374,0.2398,-177.76,Excelente,81.4,1,0.1961,0.0343,0.2494,0.9447,0.4286,0.5844,0.4,0.3125,1.0,0.5616,0.0957,0.1543,0.3871
